STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
14200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14200.00,8618,67,0.783534089580166,16443,95.38,0.4,-0.0499999999999999,-11.111111111111107,285300,71850,27200,0.35,4800,0.4,17562
14250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14250.00,4,4,0.0,8,0.0,3283.15,1591.75,94.10843088565684,7750,4950,50,3240.95,200,3397.4,17562
14250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14250.00,260,227,687.8787878787879,4776,93.93,0.4,-0.4,-50.0,39500,11600,1500,0.45,100,0.55,17562
14300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14300.00,4,4,0.0,8,0.0,3232.3,1492.9,85.82844659077843,7450,4650,50,3189.35,200,3305.15,17562
14300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14300.00,778,15,1.965923984272608,10768,92.48,0.4,-0.25,-38.46153846153846,115900,29000,1600,0.4,50,0.45,17562
14350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14350.00,0,0,0.0,8,0.0,3181.45,1483.4499999999998,87.3645465253239,7450,4650,50,3139.5,700,3255.3,17562
14350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14350.00,22,19,633.3333333333334,132,91.03,0.4,-0.65,-61.90476190476191,16150,13300,2100,0.4,300,0.7,17562
14400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14400.00,1,1,0.0,8,0.0,3130.2,1473.15,88.90196433420837,10000,4450,50,3089.4,500,3202.95,17562
14400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14400.00,871,-20,-2.244668911335578,8831,90.51,0.45,-0.3,-40.0,91750,27850,3950,0.45,1900,0.55,17562
14450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14450.00,0,0,0.0,8,0.0,3074.9,1458.35,90.21372676378708,9450,3950,1000,2965.4,1000,3206.55,17562
14450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14450.00,28,28,0.0,11809,89.89,0.5,-147.5,-99.66216216216216,15850,6750,3200,0.45,50,0.8,17562
14500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14500.00,0,-1,-100.0,10,0.0,3047.95,5.849999999999909,0.1923013707636142,7450,4650,50,2992.75,200,3099.9,17562
14500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14500.00,5483,116,2.161356437488355,14071,88.43,0.5,-0.15,-23.07692307692308,341400,61300,200,0.5,2400,0.65,17562
14550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14550.00,1,1,0.0,8,305.29,3426.4,1889.55,122.94953964277582,7050,4250,50,2942.75,500,3078.5,17562
14550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14550.00,35,27,337.5,91,89.69,0.7,0.0,0.0,14750,21900,1650,0.7,2050,1.0,17562
14600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14600.00,0,0,0.0,8,292.71,3346.65,1848.95,123.452627361955,7050,7000,50,2894.0,500,2990.4,17562
14600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14600.00,1345,100,8.032128514056225,1753,83.85,0.4,-0.25,-38.46153846153846,96600,38000,2250,0.4,1300,0.65,17562
14650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14650.00,0,0,0.0,8,295.09,3316.1,1857.1,127.28581220013707,9250,3750,3750,2772.5,1000,3037.85,17562
14650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14650.00,30,15,100.0,4337,76.08,0.15,-0.6,-80.0,10100,22900,2400,0.15,2100,1.3,17562
14700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14700.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6950,4150,50,2794.3,400,2908.85,17562
14700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14700.00,268,-12,-4.285714285714286,6733,83.33,0.55,-0.35,-38.888888888888886,48200,34750,300,0.55,50,0.8,17562
14750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14750.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9300,3750,50,2744.55,1000,2858.25,17562
14750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14750.00,5,-9,-64.28571428571429,3031,85.32,0.85,-0.0999999999999999,-10.52631578947368,10800,25850,3000,0.15,50,1.4,17562
14800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14800.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9700,4150,50,2695.35,400,2803.95,17562
14800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14800.00,252,100,65.78947368421052,1227,79.73,0.5,-0.5,-50.0,73900,30600,11350,0.5,50,0.95,17562
14850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14850.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9700,4150,50,2644.4,400,2754.4,17562
14850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14850.00,22,2,10.0,624,78.98,0.55,-0.8499999999999999,-60.71428571428571,35400,23450,100,0.25,50,1.2,17562
14900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14900.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9700,6900,50,2597.5,400,2701.8,17562
14900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14900.00,324,122,60.3960396039604,1548,77.53,0.55,-0.4499999999999999,-44.99999999999999,107700,33100,2000,0.55,50,0.75,17562
14950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE14950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9250,9250,1000,2485.0,1000,2653.5,17562
14950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE14950.00,61,60,6000.0,129,79.78,0.9,0.55,157.14285714285717,25050,13750,2100,0.45,2000,1.05,17562
15000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15000.00,7,0,0.0,0,0.0,2584.3,0.0,0.0,12950,7450,1000,2436.9,900,2624.5,17562
15000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15000.00,7580,361,5.000692616705915,17359,74.65,0.55,-0.3999999999999999,-42.105263157894726,500200,62200,28400,0.45,4900,0.55,17562
15050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15050.00,0,0,0.0,0,0.0,0.0,0.0,0.0,9750,12450,1000,2387.2,1000,2587.25,17562
15050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15050.00,13,10,333.3333333333333,986,71.12,0.4,-1.1,-73.33333333333334,41850,23750,2100,0.25,50,1.85,17562
15100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15100.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12100,12050,50,2399.95,1000,2516.9,17562
15100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15100.00,154,45,41.28440366972477,1612,76.1,1.0,-0.25,-20.0,77500,20400,1150,0.7,50,1.0,17562
15150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15150.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12050,12050,2750,2289.85,1000,2488.65,17562
15150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15150.00,10,9,900.0,44,71.47,0.65,-0.0499999999999999,-7.142857142857134,36550,16050,1500,0.35,50,1.75,17562
15200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15200.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12100,12050,50,2301.1,1000,2432.75,17562
15200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15200.00,185,-41,-18.141592920353983,1870,71.01,0.75,-0.55,-42.30769230769231,85650,25700,1650,0.75,900,0.95,17562
15250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12050,12050,1000,2193.6,1000,2398.95,17562
15250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15250.00,1,-6,-85.71428571428571,28,72.31,1.1,-0.5499999999999998,-33.33333333333333,41400,24450,2100,0.55,2000,1.35,17562
15300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15300.00,1,0,0.0,0,0.0,2298.9,0.0,0.0,12050,12050,1000,2150.95,1000,2336.95,17562
15300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15300.00,279,-132,-32.11678832116788,2675,67.13,0.65,-0.7499999999999999,-53.57142857142857,84300,30450,1500,0.7,1750,1.0,17562
15350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12100,12050,50,2153.8,1000,2263.35,17562
15350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15350.00,26,-7,-21.21212121212121,1222,67.47,0.85,-0.4,-32.0,39300,16100,1100,0.85,50,1.55,17562
15400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15400.00,1,1,0.0,1,0.0,2005.55,1063.25,112.83561498461212,12050,12050,2750,2029.9,1000,2235.3,17562
15400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15400.00,135,-12,-8.16326530612245,2422,66.75,0.95,-0.4000000000000001,-29.62962962962964,73250,19350,3050,0.7,150,0.95,17562
15450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12050,9300,1000,2001.9,1000,2195.05,17562
15450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15450.00,9,8,800.0,3707,55.19,0.15,-1.4500000000000002,-90.625,25450,18850,1000,0.4,2000,2.35,17562
15500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15500.00,3,0,0.0,1,0.0,1903.0,8.200000000000045,0.4327633523327024,13250,10200,1050,2005.3,700,2132.05,17562
15500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15500.00,10553,-1575,-12.986477572559366,24384,65.39,1.2,-0.1999999999999999,-14.285714285714285,490550,70800,2500,1.05,950,1.25,17562
15550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15550.00,7,-1,-12.5,24,69.49,2023.0,30.34999999999991,1.523097382882087,9650,9600,50,1959.45,1000,2077.3,17562
15550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15550.00,71,13,22.41379310344828,5554,57.87,0.45,-0.6500000000000001,-59.09090909090909,51700,21700,1950,0.45,50,1.05,17562
15600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15600.00,5,-1,-16.666666666666668,1,0.0,1800.3,-139.10000000000014,-7.172321336495831,12200,12100,50,1906.5,1000,2015.8,17562
15600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15600.00,791,53,7.181571815718157,4339,61.16,1.0,-0.3999999999999999,-28.57142857142857,156450,25750,2700,0.85,50,1.0,17562
15650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15650.00,2,0,0.0,0,0.0,1736.25,0.0,0.0,12150,12050,50,1832.6,1000,1950.7,17562
15650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15650.00,90,29,47.540983606557376,257,62.16,1.45,-0.1500000000000001,-9.375000000000009,47350,26600,50,0.65,1200,1.25,17562
15700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15700.00,62,0,0.0,6,0.0,1680.85,-25.350000000000136,-1.4857578244051186,15500,12650,250,1845.8,750,1911.8,17562
15700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15700.00,1254,-6,-0.4761904761904761,8070,58.2,1.0,-0.55,-35.483870967741936,220950,31150,350,1.0,50,1.35,17562
15750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15750.00,2,0,0.0,0,0.0,1826.55,0.0,0.0,12250,12150,50,1763.85,50,1864.15,17562
15750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15750.00,57,-12,-17.391304347826086,623,56.72,1.0,-0.95,-48.71794871794872,45550,30300,300,0.65,50,1.35,17562
15800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15800.00,18,-4,-18.181818181818183,17,0.0,1751.0,5.9500000000000455,0.3409644422795934,12700,12350,50,1739.65,500,1794.4,17562
15800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15800.00,1510,-561,-27.088363109608885,19410,55.82,1.1,-0.4499999999999999,-29.032258064516125,204600,39750,2400,1.1,50,1.3,17562
15850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15850.00,1,0,0.0,0,0.0,1728.85,0.0,0.0,12200,12100,50,1638.5,1000,1776.75,17562
15850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15850.00,41,-2,-4.651162790697675,481,57.49,1.8,0.05,2.85714285714286,53550,24550,1000,0.6,2000,1.85,17562
15900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15900.00,7,0,0.0,0,0.0,1713.1,22.399999999999864,1.32489501389956,12150,12050,50,1600.7,1000,1722.85,17562
15900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15900.00,1495,-17,-1.1243386243386244,21182,53.36,1.2,-0.5,-29.411764705882355,465550,38850,1700,1.1,50,1.25,17562
15950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE15950.00,1,0,0.0,0,0.0,1628.75,0.0,0.0,12100,12050,1000,1523.25,1000,1652.95,17562
15950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE15950.00,57,20,54.054054054054056,825,52.33,1.3,-0.55,-29.72972972972973,59300,27400,1000,0.75,200,1.3,17562
16000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16000.00,134,-1,-0.7407407407407407,14,0.0,1531.55,141.5999999999999,10.187416813554435,33650,18100,100,1559.75,100,1613.25,17562
16000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16000.00,36367,4288,13.367000218211292,160561,50.82,1.3,-0.55,-29.72972972972973,1392700,87000,2300,1.3,6850,1.4,17562
16050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16050.00,1,0,0.0,0,0.0,1543.65,0.0,0.0,14950,12100,50,1448.45,1000,1549.6,17562
16050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16050.00,222,54,32.142857142857146,1398,49.31,1.3,-0.7499999999999998,-36.58536585365853,74600,29550,850,0.95,50,2.0,17562
16100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16100.00,79,0,0.0,1,0.0,1322.9,-178.29999999999995,-11.877164934718888,20800,16100,50,1439.75,250,1483.55,17562
16100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16100.00,3806,-312,-7.576493443419135,47941,48.01,1.35,-0.7999999999999998,-37.20930232558139,210350,30150,1950,1.35,50,2.0,17562
16150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16150.00,1,0,0.0,0,0.0,1446.85,0.0,0.0,20550,12100,50,1374.25,1000,1469.05,17562
16150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16150.00,262,141,116.52892561983472,1633,46.5,1.35,-1.0,-42.5531914893617,81850,31100,350,1.35,750,1.7,17562
16200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16200.00,81,0,0.0,0,0.0,1193.25,0.0,0.0,32750,18800,100,1362.6,100,1427.05,17562
16200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16200.00,8650,520,6.396063960639607,87597,45.18,1.4,-1.2000000000000002,-46.15384615384615,251950,55850,7050,1.4,2100,1.5,17562
16250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16250.00,1,0,0.0,0,0.0,1346.1,0.0,0.0,20650,12200,50,1303.2,100,1338.9,17562
16250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16250.00,542,179,49.31129476584022,2839,43.85,1.45,-1.3,-47.27272727272727,81750,23900,1000,1.45,50,1.6,17562
16300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16300.00,110,24,27.906976744186046,36,0.0,1248.6,150.25,13.679610324577776,37350,16300,100,1264.0,100,1313.6,17562
16300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16300.00,10560,119,1.1397375730294033,122555,42.32,1.45,-1.7,-53.96825396825397,275950,71850,7700,1.4,23200,1.5,17562
16350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16350.00,8,0,0.0,0,0.0,1256.8,0.0,0.0,20600,12200,100,1200.15,100,1226.7,17562
16350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16350.00,1352,54,4.160246533127889,6866,41.91,1.8,-1.3,-41.935483870967744,97150,27100,1800,1.4,50,1.7,17562
16400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16400.00,57,8,16.3265306122449,40,0.0,965.0,-29.75,-2.990701181201307,37150,16500,100,1166.25,100,1184.2,17562
16400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16400.00,12632,-3739,-22.839166819375727,116964,40.35,1.8,-2.1500000000000004,-54.43037974683544,148550,105500,600,1.8,100,1.95,17562
16450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16450.00,3,0,0.0,0,0.0,1148.9,0.0,0.0,20700,12300,100,1105.8,100,1141.3,17562
16450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16450.00,2825,1359,92.7012278308322,11993,39.45,2.05,-2.8500000000000005,-58.16326530612245,74200,22700,50,1.95,50,2.05,17562
16500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16500.00,290,61,26.63755458515284,209,0.0,1070.2,182.4000000000001,20.545167830592487,40400,21500,150,1063.85,100,1079.7,17562
16500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16500.00,73970,18888,34.29069387458698,391779,38.11,2.15,-3.35,-60.909090909090914,1020500,106950,1000,2.1,1850,2.15,17562
16550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16550.00,68,4,6.25,11,0.0,1020.6,177.64999999999998,21.07479684441544,46100,18950,100,1003.05,100,1047.65,17562
16550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16550.00,2652,319,13.673381911701671,18113,37.39,2.55,-4.65,-64.58333333333334,150250,19750,2000,2.35,50,2.9,17562
16600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16600.00,978,800,449.438202247191,962,26.82,971.3,169.44999999999993,21.132381368086293,136250,22000,50,958.3,100,1024.0,17562
16600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16600.00,28691,7956,38.36990595611285,179881,36.15,2.75,-4.75,-63.33333333333333,365150,40250,2400,2.7,1650,2.95,17562
16650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16650.00,53,15,39.47368421052632,17,0.0,920.25,165.20000000000005,21.87934573869281,58700,20300,100,915.9,100,952.2,17562
16650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16650.00,3963,18,0.4562737642585551,29137,34.77,2.9,-5.75,-66.47398843930635,211700,32150,1200,2.9,800,3.6,17562
16700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16700.00,675,511,311.5853658536585,708,31.17,873.05,175.89999999999998,25.23129885964283,58900,20350,100,868.6,100,889.65,17562
16700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16700.00,38735,14442,59.44922405631252,218593,34.15,3.55,-6.6000000000000005,-65.02463054187191,439750,45700,750,3.55,800,3.6,17562
16750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16750.00,50,21,72.41379310344827,37,0.0,739.65,82.04999999999995,12.47718978102189,46350,20400,50,757.35,100,832.05,17562
16750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16750.00,8230,990,13.67403314917127,50189,32.79,3.8,-8.2,-68.33333333333333,249600,34450,1150,3.55,50,4.15,17562
16800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16800.00,1082,824,319.37984496124034,1070,30.51,774.6,165.55000000000007,27.1816763812495,49300,19050,50,706.25,50,774.0,17562
16800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16800.00,58179,28929,98.9025641025641,317686,32.52,5.0,-8.7,-63.503649635036496,366650,76900,550,4.25,350,5.0,17562
16850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16850.00,33,6,22.22222222222222,17,25.08,722.55,161.14999999999998,28.705023156394727,66150,20400,100,715.05,100,748.1,17562
16850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16850.00,6171,726,13.333333333333334,70289,30.67,4.95,-11.150000000000002,-69.25465838509317,211000,49100,600,4.4,100,5.25,17562
16900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16900.00,172,-10,-5.494505494505495,314,26.53,674.25,165.25,32.4656188605108,75950,30400,50,664.7,100,680.2,17562
16900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16900.00,26396,-631,-2.334702334702335,290428,29.18,5.25,-13.1,-71.38964577656675,288700,82150,150,5.25,50,5.95,17562
16950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE16950.00,51,-1,-1.9230769230769231,61,0.0,613.3,144.69999999999993,30.87921468203157,52500,21100,50,563.5,50,632.45,17562
16950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE16950.00,7615,675,9.72622478386167,104085,25.88,3.85,-19.2,-83.29718004338395,198700,65400,27800,3.0,2400,6.45,17562
