,Symbol_Details,Exchange_Instrument_type,Minimum_lot_size,Expiry_date,Symbol_ticker,Exchange,Segment
0,NATURALGAS 21 Oct 26 FUT,30,1,1635272999,MCX:NATURALGAS21OCTFUT,11,20
1,COTTON 21 Oct 29 FUT,30,1,1635532199,MCX:COTTON21OCTFUT,11,20
2,ALUMINIUM 21 Oct 29 FUT,30,1,1635532199,MCX:ALUMINIUM21OCTFUT,11,20
3,COPPER 21 Oct 29 FUT,30,1,1635532199,MCX:COPPER21OCTFUT,11,20
4,CPO 21 Oct 29 FUT,30,1,1635532199,MCX:CPO21OCTFUT,11,20
5,LEAD 21 Oct 29 FUT,30,1,1635532199,MCX:LEAD21OCTFUT,11,20
6,ZINC 21 Oct 29 FUT,30,1,1635532199,MCX:ZINC21OCTFUT,11,20
7,NICKEL 21 Oct 29 FUT,30,1,1635532199,MCX:NICKEL21OCTFUT,11,20
8,RUBBER 21 Oct 29 FUT,30,1,1635532199,MCX:RUBBER21OCTFUT,11,20
9,MENTHAOIL 21 Oct 29 FUT,30,1,1635532199,MCX:MENTHAOIL21OCTFUT,11,20
10,GOLDGUINEA 21 Oct 29 FUT,30,1,1635532199,MCX:GOLDGUINEA21OCTFUT,11,20
11,GOLDPETAL 21 Oct 29 FUT,30,1,1635532199,MCX:GOLDPETAL21OCTFUT,11,20
12,GOLDM 21 Nov 03 FUT,30,1,1635964199,MCX:GOLDM21NOVFUT,11,20
13,GOLDM 21 Nov 03 42800 CE,32,1,1635964199,MCX:GOLDM21NOV42800CE,11,20
14,GOLDM 21 Nov 03 42800 PE,32,1,1635964199,MCX:GOLDM21NOV42800PE,11,20
15,GOLDM 21 Nov 03 43000 CE,32,1,1635964199,MCX:GOLDM21NOV43000CE,11,20
16,GOLDM 21 Nov 03 43000 PE,32,1,1635964199,MCX:GOLDM21NOV43000PE,11,20
17,GOLDM 21 Nov 03 43200 CE,32,1,1635964199,MCX:GOLDM21NOV43200CE,11,20
18,GOLDM 21 Nov 03 43200 PE,32,1,1635964199,MCX:GOLDM21NOV43200PE,11,20
19,GOLDM 21 Nov 03 43400 CE,32,1,1635964199,MCX:GOLDM21NOV43400CE,11,20
20,GOLDM 21 Nov 03 43400 PE,32,1,1635964199,MCX:GOLDM21NOV43400PE,11,20
21,GOLDM 21 Nov 03 43600 CE,32,1,1635964199,MCX:GOLDM21NOV43600CE,11,20
22,GOLDM 21 Nov 03 43600 PE,32,1,1635964199,MCX:GOLDM21NOV43600PE,11,20
23,GOLDM 21 Nov 03 43800 CE,32,1,1635964199,MCX:GOLDM21NOV43800CE,11,20
24,GOLDM 21 Nov 03 43800 PE,32,1,1635964199,MCX:GOLDM21NOV43800PE,11,20
25,GOLDM 21 Nov 03 44000 CE,32,1,1635964199,MCX:GOLDM21NOV44000CE,11,20
26,GOLDM 21 Nov 03 44000 PE,32,1,1635964199,MCX:GOLDM21NOV44000PE,11,20
27,GOLDM 21 Nov 03 44200 CE,32,1,1635964199,MCX:GOLDM21NOV44200CE,11,20
28,GOLDM 21 Nov 03 44200 PE,32,1,1635964199,MCX:GOLDM21NOV44200PE,11,20
29,GOLDM 21 Nov 03 44400 CE,32,1,1635964199,MCX:GOLDM21NOV44400CE,11,20
30,GOLDM 21 Nov 03 44400 PE,32,1,1635964199,MCX:GOLDM21NOV44400PE,11,20
31,GOLDM 21 Nov 03 44600 CE,32,1,1635964199,MCX:GOLDM21NOV44600CE,11,20
32,GOLDM 21 Nov 03 44600 PE,32,1,1635964199,MCX:GOLDM21NOV44600PE,11,20
33,GOLDM 21 Nov 03 44800 CE,32,1,1635964199,MCX:GOLDM21NOV44800CE,11,20
34,GOLDM 21 Nov 03 44800 PE,32,1,1635964199,MCX:GOLDM21NOV44800PE,11,20
35,GOLDM 21 Nov 03 45000 CE,32,1,1635964199,MCX:GOLDM21NOV45000CE,11,20
36,GOLDM 21 Nov 03 45000 PE,32,1,1635964199,MCX:GOLDM21NOV45000PE,11,20
37,GOLDM 21 Nov 03 45200 CE,32,1,1635964199,MCX:GOLDM21NOV45200CE,11,20
38,GOLDM 21 Nov 03 45200 PE,32,1,1635964199,MCX:GOLDM21NOV45200PE,11,20
39,GOLDM 21 Nov 03 45400 CE,32,1,1635964199,MCX:GOLDM21NOV45400CE,11,20
40,GOLDM 21 Nov 03 45400 PE,32,1,1635964199,MCX:GOLDM21NOV45400PE,11,20
41,GOLDM 21 Nov 03 45600 CE,32,1,1635964199,MCX:GOLDM21NOV45600CE,11,20
42,GOLDM 21 Nov 03 45600 PE,32,1,1635964199,MCX:GOLDM21NOV45600PE,11,20
43,GOLDM 21 Nov 03 45800 CE,32,1,1635964199,MCX:GOLDM21NOV45800CE,11,20
44,GOLDM 21 Nov 03 45800 PE,32,1,1635964199,MCX:GOLDM21NOV45800PE,11,20
45,GOLDM 21 Nov 03 46000 CE,32,1,1635964199,MCX:GOLDM21NOV46000CE,11,20
46,GOLDM 21 Nov 03 46000 PE,32,1,1635964199,MCX:GOLDM21NOV46000PE,11,20
47,GOLDM 21 Nov 03 46200 CE,32,1,1635964199,MCX:GOLDM21NOV46200CE,11,20
48,GOLDM 21 Nov 03 46200 PE,32,1,1635964199,MCX:GOLDM21NOV46200PE,11,20
49,GOLDM 21 Nov 03 46400 CE,32,1,1635964199,MCX:GOLDM21NOV46400CE,11,20
50,GOLDM 21 Nov 03 46400 PE,32,1,1635964199,MCX:GOLDM21NOV46400PE,11,20
51,GOLDM 21 Nov 03 46600 CE,32,1,1635964199,MCX:GOLDM21NOV46600CE,11,20
52,GOLDM 21 Nov 03 46600 PE,32,1,1635964199,MCX:GOLDM21NOV46600PE,11,20
53,GOLDM 21 Nov 03 46800 CE,32,1,1635964199,MCX:GOLDM21NOV46800CE,11,20
54,GOLDM 21 Nov 03 46800 PE,32,1,1635964199,MCX:GOLDM21NOV46800PE,11,20
55,GOLDM 21 Nov 03 47000 CE,32,1,1635964199,MCX:GOLDM21NOV47000CE,11,20
56,GOLDM 21 Nov 03 47000 PE,32,1,1635964199,MCX:GOLDM21NOV47000PE,11,20
