token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
22197,737JH31-SG,737JH31,,-1.0,100,,NSE,1.000000
2372,63PY26-SG,63PY26,,-1.0,100,,NSE,1.000000
9698,UTDGR31P12-MF,UTDGR31P12,,-1.0,1,,NSE,1.000000
6022,ABSLAMC-BL,ABSLAMC,,-1.0,1,,NSE,5.000000
20054,IIFCL-N2,IIFCL,,-1.0,1,,NSE,1.000000
25139,BROOKS-BL,BROOKS,,-1.0,1,,NSE,5.000000
2106,MANGLMCEM-EQ,MANGLMCEM,,-1.0,1,,NSE,5.000000
7630,ABSLFTRVRN-MF,ABSLFTRVRN,,-1.0,1,,NSE,1.000000
10999,MARUTI-EQ,MARUTI,,-1.0,1,,NSE,5.000000
20992,INDIGRID-BL,INDIGRID,,-1.0,1,,NSE,1.000000
30982,RECLTD-N5,RECLTD,,-1.0,1,,NSE,1.000000
6061,SDFSC27GD-MF,SDFSC27GD,,-1.0,1,,NSE,1.000000
17939,HINDCOPPER-EQ,HINDCOPPER,,-1.0,1,,NSE,5.000000
15335,NMDC-BL,NMDC,,-1.0,1,,NSE,5.000000
5236,714AP41-SG,714AP41,,-1.0,100,,NSE,1.000000
15110,IRFC-NL,IRFC,,-1.0,1,,NSE,1.000000
13688,GATI-EQ,GATI,,-1.0,1,,NSE,5.000000
17471,MAXVIL-BL,MAXVIL,,-1.0,1,,NSE,5.000000
18883,SJVN-EQ,SJVN,,-1.0,1,,NSE,5.000000
6624,DSPNEWETF-BL,DSPNEWETF,,-1.0,1,,NSE,1.000000
22212,717PN30-SG,717PN30,,-1.0,100,,NSE,1.000000
11654,LALPATHLAB-EQ,LALPATHLAB,,-1.0,1,,NSE,5.000000
21523,SREIBNPNCD-NP,SREIBNPNCD,,-1.0,1,,NSE,1.000000
41,687AP38-SG,687AP38,,-1.0,100,,NSE,1.000000
184,TCPLPACK-EQ,TCPLPACK,,-1.0,1,,NSE,5.000000
1018,68TS50-SG,68TS50,,-1.0,100,,NSE,1.000000
3481,THOMASCOOK-EQ,THOMASCOOK,,-1.0,1,,NSE,5.000000
8065,H1190D43DG-MF,H1190D43DG,,-1.0,1,,NSE,1.000000
6778,ABSLFTRRRN-MF,ABSLFTRRRN,,-1.0,1,,NSE,1.000000
19968,HUDCO-ND,HUDCO,,-1.0,1,,NSE,1.000000
11184,IDFCFIRSTB-EQ,IDFCFIRSTB,,-1.0,1,,NSE,5.000000
18102,KOTAKNIFTY-EQ,KOTAKNIFTY,,-1.0,1,,NSE,1.000000
835,538CG25-SG,538CG25,,-1.0,100,,NSE,1.000000
19126,KIOCL-EQ,KIOCL,,-1.0,1,,NSE,5.000000
1368,66MN30-SG,66MN30,,-1.0,100,,NSE,1.000000
56,HAPPSTMNDS-BE,HAPPSTMNDS,,-1.0,1,,NSE,5.000000
12401,GODREJCP-BL,GODREJCP,,-1.0,1,,NSE,5.000000
7301,UTRGR30P15-MF,UTRGR30P15,,-1.0,1,,NSE,1.000000
440,69GA30A-SG,69GA30A,,-1.0,100,,NSE,1.000000
12383,GENUSPOWER-BL,GENUSPOWER,,-1.0,1,,NSE,5.000000
4749,CONCOR-EQ,CONCOR,,-1.0,1,,NSE,5.000000
696,SRTRANSFIN-YK,SRTRANSFIN,,-1.0,1,,NSE,1.000000
14570,BFUTILITIE-BL,BFUTILITIE,,-1.0,1,,NSE,5.000000
9193,UTRFP31P08-MF,UTRFP31P08,,-1.0,1,,NSE,1.000000
2412,PEL-EQ,PEL,,-1.0,1,,NSE,5.000000
12200,AMBICAAGAR-BL,AMBICAAGAR,,-1.0,1,,NSE,5.000000
9436,AXISCADES-EQ,AXISCADES,,-1.0,1,,NSE,5.000000
13745,GTLINFRA-EQ,GTLINFRA,,-1.0,1,,NSE,5.000000
12760,SIEMENS-BL,SIEMENS,,-1.0,1,,NSE,5.000000
12142,SAKSOFT-BL,SAKSOFT,,-1.0,1,,NSE,5.000000
6047,PASUPTAC-BL,PASUPTAC,,-1.0,1,,NSE,5.000000
10626,DHANILOANS-NE,DHANILOANS,,-1.0,1,,NSE,1.000000
5290,ROLEXRINGS-BL,ROLEXRINGS,,-1.0,1,,NSE,5.000000
24927,ELGIRUBCO-BL,ELGIRUBCO,,-1.0,1,,NSE,5.000000
16770,TATACAPHSG-N1,TATACAPHSG,,-1.0,1,,NSE,1.000000
2228,H3360D30DF-MF,H3360D30DF,,-1.0,1,,NSE,1.000000
22371,669TS50-SG,669TS50,,-1.0,100,,NSE,1.000000
4750,689GA31-SG,689GA31,,-1.0,100,,NSE,1.000000
2970,SURYODAY-EQ,SURYODAY,,-1.0,1,,NSE,5.000000
20188,WABAG-EQ,WABAG,,-1.0,1,,NSE,5.000000
15161,HITECHCORP-EQ,HITECHCORP,,-1.0,1,,NSE,5.000000
1376,668JH32-SG,668JH32,,-1.0,100,,NSE,1.000000
6385,CCHHL-EQ,CCHHL,,-1.0,1,,NSE,5.000000
13764,BBL-BL,BBL,,-1.0,1,,NSE,5.000000
3507,MAFANG-EQ,MAFANG,,-1.0,1,,NSE,1.000000
21948,658MP35-SG,658MP35,,-1.0,100,,NSE,1.000000
19407,HEOFDG1126-MF,HEOFDG1126,,-1.0,1,,NSE,1.000000
19345,RHFL-N7,RHFL,,-1.0,1,,NSE,1.000000
20575,721AP31-SG,721AP31,,-1.0,100,,NSE,1.000000
21362,SALASAR-EQ,SALASAR,,-1.0,1,,NSE,5.000000
4215,GS101025C-GS,GS101025C,,-1.0,100,,NSE,1.000000
2953,RECLTD-NG,RECLTD,,-1.0,1,,NSE,1.000000
423,594CG25-SG,594CG25,,-1.0,100,,NSE,1.000000
2873,HITECH-BL,HITECH,,-1.0,1,,NSE,5.000000
24225,RELAXO-EQ,RELAXO,,-1.0,1,,NSE,5.000000
5906,H1274D43RD-MF,H1274D43RD,,-1.0,1,,NSE,1.000000
9903,F140D-MF,F140D,,-1.0,1,,NSE,1.000000
7410,H1211D43RG-MF,H1211D43RG,,-1.0,1,,NSE,1.000000
7703,UTDAP30P14-MF,UTDAP30P14,,-1.0,1,,NSE,1.000000
3565,EQUIPPP-BL,EQUIPPP,,-1.0,1,,NSE,5.000000
2768,719KA39-SG,719KA39,,-1.0,100,,NSE,1.000000
21169,724GJ29-SG,724GJ29,,-1.0,100,,NSE,1.000000
21697,MANAV-SM,MANAV,,-1.0,4000,,NSE,5.000000
319,695PN40-SG,695PN40,,-1.0,100,,NSE,1.000000
17060,PALREDTEC-BL,PALREDTEC,,-1.0,1,,NSE,5.000000
12806,SUZLON-BL,SUZLON,,-1.0,1,,NSE,5.000000
3464,INDIGRID-NJ,INDIGRID,,-1.0,1,,NSE,1.000000
746,687AP35-SG,687AP35,,-1.0,100,,NSE,1.000000
17395,SETF10GILT-EQ,SETF10GILT,,-1.0,1,,NSE,1.000000
9919,NEOGEN-BL,NEOGEN,,-1.0,1,,NSE,5.000000
13016,SANGHIIND-BL,SANGHIIND,,-1.0,1,,NSE,5.000000
12270,BLUEDART-BL,BLUEDART,,-1.0,1,,NSE,5.000000
10238,CONFIPET-EQ,CONFIPET,,-1.0,1,,NSE,5.000000
8282,FIFMPS5EQP-MF,FIFMPS5EQP,,-1.0,1,,NSE,1.000000
21811,SBILIFE-BL,SBILIFE,,-1.0,1,,NSE,5.000000
1824,582RJ27-SG,582RJ27,,-1.0,100,,NSE,1.000000
9244,UTDGR31P07-MF,UTDGR31P07,,-1.0,1,,NSE,1.000000
21462,SPTL-EQ,SPTL,,-1.0,1,,NSE,5.000000
12623,NATIONALUM-BL,NATIONALUM,,-1.0,1,,NSE,5.000000
8750,UTDMP31P04-MF,UTDMP31P04,,-1.0,1,,NSE,1.000000
12805,SUVEN-BL,SUVEN,,-1.0,1,,NSE,5.000000
23650,MUTHOOTFIN-EQ,MUTHOOTFIN,,-1.0,1,,NSE,5.000000
4391,GULFOILLUB-EQ,GULFOILLUB,,-1.0,1,,NSE,5.000000
15219,PATINTLOG-EQ,PATINTLOG,,-1.0,1,,NSE,5.000000
22017,66MZ30-SG,66MZ30,,-1.0,100,,NSE,1.000000
328,ANGELONE-BL,ANGELONE,,-1.0,1,,NSE,5.000000
554,UTIAMC-BL,UTIAMC,,-1.0,1,,NSE,5.000000
958,ESCORTS-EQ,ESCORTS,,-1.0,1,,NSE,5.000000
14846,VIPCLOTHNG-BL,VIPCLOTHNG,,-1.0,1,,NSE,5.000000
4562,565TN25-SG,565TN25,,-1.0,100,,NSE,1.000000
20773,715AP32-SG,715AP32,,-1.0,100,,NSE,1.000000
14358,MINDTREE-BL,MINDTREE,,-1.0,1,,NSE,5.000000
22129,66TN29-SG,66TN29,,-1.0,100,,NSE,1.000000
25281,UFIHIPRPII-MF,UFIHIPRPII,,-1.0,1,,NSE,1.000000
2837,RANASUG-EQ,RANASUG,,-1.0,1,,NSE,5.000000
1,GOLDSTAR-SM,GOLDSTAR,,-1.0,6000,,NSE,5.000000
3391,696TS51-SG,696TS51,,-1.0,100,,NSE,1.000000
